Category,Coding,Medication_ATC_code,Drug_name
gaviscon liquid,1140865354,A02BX13,Sodium Bicarbonate |Calcium Carbonate |Alginic Acid
pravastatin,1140888648,C10AA03,Pravastatin
codeine,1140884444,R05DA04,Codeine
nasonex 0.05% aqueous nasal spray,1141150944,R01AD09,Mometasone
mebeverine,1140879428,A03AA04,Mebeverine
gabapentin,1140872228,N03AX12,Gabapentin
valsartan,1141145660,C09CA03,Valsartan
fluticasone,1140888098,D07AC17 |R01AD08 |R03BA05,Fluticasone Propionate
sertraline,1140867878,N06AB06,Sertraline
calcium+vitamin d 500units tablet,1140852948,A12AX,Cholecalciferol |Calcium Carbonate
venlafaxine,1140916282,N06AX16,Venlafaxine
premarin 625micrograms tablet,1140868408,G03CA57,Conjugated Estrogens
flixonase 50micrograms aqueous nasal spray,1140876076,R01AD08,Fluticasone Propionate
beclomethasone,1140884654,A07EA07 |D07AC15 |R01AD01 |R03BA01,Beclomethasone Dipropionate
qvar 50 inhaler,1141167594,R03BA01,Beclomethasone Dipropionate
finasteride,1140868550,D11AX10 |G04CB01,Finasteride
vitamin d product,1140870954,A11CC,Vitamin D
vitamin e product,1140871112,A11HA,Vitamin E
co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10,1189,C01EB09,Ubidecarenone
indapamide,1140866078,C03BA11,Indapamide
zopiclone,1140863144,N05CF01,Zopiclone
dihydrocodeine,1140884464,N02AA08,Dihydrocodeine
dosulepin,1140909806,N06AA16,Dosulepin
betnovate cream,1140882694,D07AC01,Betamethasone
esomeprazole,1141177526,A02BC05,Esomeprazole
fexofenadine,1141146428,R06AX26,Fexofenadine
tamoxifen,1140870164,L02BA01,Tamoxifen
isosorbide mononitrate,1140860954,C01DA14,Isosorbide Mononitrate
paroxetine,1140867888,N06AB05,Paroxetine
vitamin b12 preparation,1140870570,B03BA,Cyanocobalamin
loperamide,1140879464,A07DA03,Loperamide
nicorandil,1140910766,C01DX16,Nicorandil
movicol oral powder,1140925800,A06AD65,Potassium Chloride |Sodium Bicarbonate |Sodium Chloride |Polyethylene Glycol
iron product,1140888386,B03A,Iron
adcal 600mg chewable tablet,1141171948,A12AA04,Calcium Carbonate
salamol 100micrograms inhaler,1140862086,R03AC02,Salbutamol
betahistine,1140888688,N07CA01,Betahistine
selenium product,1140883748,A12CE,Selenium
glyceryl trinitrate,1140860834,C01DA02 |C05AE01,Nitroglycerin
vagifem 25mcg pessary,1140868472,G03CA03,Estradiol
mirtazapine,1141152732,N06AX11,Mirtazapine
oxytetracycline,1140873548,D06AA03 |G01AA07 |J01AA06 |S01AA04,Oxytetracycline
xalatan 0.005% eye drops,1141146198,S01EE01,Latanoprost
meloxicam,1140926732,M01AC06,Meloxicam
diazepam,1140863152,N05BA01,Diazepam
vitamin c product,1195,A11GA |S01XA15 |G01AD03,Vitamin C
sumatriptan,1140884412,N02CC01,Sumatriptan
beclazone 50 inhaler,1140862476,R03BA01,Beclomethasone Dipropionate
thyroxine sodium,1140874852,H03AA01,Levothyroxine
lactulose product,1140865800,A06AD11,Lactulose
lercanidipine,1141153026,C08CA13,Lercanidipine
serevent 25mcg inhaler,1140862148,R03AC12,Salmeterol
digoxin,2038459814,C01AA05,Digoxin
salmeterol,1140862144,R03AC12,Salmeterol
tiotropium,1141182628,R03BB04,Tiotropium
cerazette 75micrograms tablet,1141182800,G03AC09,Desogestrel
nifedipine,1140861088,C08CA05,Nifedipine
gtn 400micrograms spray,1140851812,C05AE01,Nitroglycerin
alfuzosin,1140879774,G04CA01,Alfuzosin
adalat 5mg capsule,1140861090,C08CA05,Nifedipine
viscotears liquid eye gel,1140865010,S01XA20,Carbomer 980
calcichew 1.25g chewable tablet,1140870856,A12AA04,Calcium Carbonate
oxybutynin,1140883568,G04BD04,Oxybutynin
pregabalin,1141200004,N03AX16,Pregabalin
bricanyl 250mcg inhaler,1140862168,R03AC03,Terbutaline
pioglitazone,1141171646,A10BG03,Pioglitazone
latanoprost,1141146188,S01EE01,Latanoprost
minerals - magnesium,1141145812,A12CC,Magnesium
tegretol 100mg tablet,1140872072,N03AF01,Carbamazepine
evening primrose oil product,1197,D11AX02,Evening Primrose Oil
azathioprine,1140869930,L04AX01,Azathioprine
budesonide,1140862572,A07EA06 |D07AC09 |R01AD05 |R03BA02,Budesonide
domperidone,1140879430,A03FA03,Domperidone
diltiazem,1140879806,C05AE03 |C08DB01,Diltiazem
fybogel orange s/f granules,1141180036,A06AC01,Plantago Seed
mometasone,1140888172,D07AC13 |D07XC03 |R01AD09 |R03BA07,Mometasone
senna,1140865716,A06AB06,Senna Glycoside
temazepam,1140863202,N05CD07,Temazepam
terbinafine,1140927328,D01AE15 |D01BA02,Terbinafine
kliovance 1mg/0.5mg tablet,1141168326,G03FA01,Norethisterone |Estradiol
tolterodine l-tartrate,1141162764,G04BD07,Tolterodine
tildiem 60mg m/r tablet,1140861128,C08DB01,Diltiazem
montelukast product,1141157126,R03DC03,Montelukast
elleste duet conti tablet,1141156644,G03FA01,Norethisterone |Estradiol
risedronate sodium,1141175684,M05BA07,Risedronate
sildenafil,1141168936,G04BE03,Sildenafil
spironolactone,1140866236,C03DA01,Spironolactone
rino clenil 50micrograms nasal spray,1141192916,R01AD01,Beclomethasone Dipropionate
metoprolol,1140879818,C07AB02,Metoprolol
pantoprazole,1140929012,A02BC02,Pantoprazole
sulfasalazine,1140909702,A07EC01,Sulfasalazine
ezetrol 10mg tablet,1141192740,C10AX09,Ezetimibe
estradiol product,1141181700,G03CA,Estradiol
premique 0.625mg/5mg tablet,1140922804,G03FA12,Conjugated Estrogens |Medroxyprogesterone Acetate
hydrocortisone,1140874896,A01AC03 |A07EA02 |C05AA01 |D07AA02 |D07XA01 |H02AB09 |S01BA02 |S01CB03 |S02BA01,Hydrocortisone
hypromellose,1140875990,S01KA02,Hypromellose
dipyridamole,1140861778,B01AC07,Dipyridamole
calcium carbonate+cholecalciferol 1.25g/200iu tablet,1141146606,A12AX,Cholecalciferol |Calcium Carbonate
salmeterol+fluticasone propionate,1141164086,R03AK06,Salmeterol |Fluticasone Propionate
rabeprazole sodium,1141168584,A02BC04,Rabeprazole
verapamil,1140888510,C08DA01,Verapamil
escitalopram,1141180212,N06AB10,Escitalopram
frusemide,1140866116,C03CA01,Furosemide
arimidex 1mg tablet,1140923022,L02BG03,Anastrozole
solifenacin,1141200322,G04BD08,Solifenacin
st john's wort/hypericum [ctsu],1201,N06AX25,St. John'S Wort
tibolone,1140868482,G03CX01,Tibolone
elleste-solo 1mg tablet,1140923852,G03CA03,Estradiol
nexium 20mg tablet,1141177532,A02BC05,Esomeprazole
gtn - glyceryl trinitrate,1140923670,C01DA02,Nitroglycerin
flecainide,1140888570,C01BC04,Flecainide
flixotide 25micrograms inhaler,1140864286,R03BA05,Fluticasone Propionate
epilim 100mg crushable tablet,1140872200,N03AG01,Valproic Acid
diprobase cream,1140878226,D02AX,No Active Ingredients
mirena 52mg intrauterine system,1140921814,G02BA03,Levonorgestrel
imigran 50mg tablet,1140911658,N02CC01,Sumatriptan
flax oil tablet,1140911730,A06AC05,Linseed Oil
telmisartan,1141166006,C09CA07,Telmisartan
femoston 1/10 tablet,1140922562,G03FB08,Dydrogesterone |Estradiol
betamethasone,1140874790,A07EA04 |C05AA05 |D07AC01 |D07XC01 |H02AB01 |R01AD06 |R03BA04 |S01BA06 |S01CB04 |S02BA07 |S03BA03,Betamethasone
hydroxychloroquine,1140884308,P01BA02,Hydroxychloroquine
salbutamol product,1141157486,R03AC02 |R03CC02,Salbutamol
carbamazepine,2038459704,N03AF01,Carbamazepine
evorel 25 patch,1140916790,G03CA03,Estradiol
piriton 4mg tablet,1140862628,R06AB04,Chlorphenamine
pulmicort ls 50micrograms inhaler,1140862574,R03BA02,Budesonide
lacri-lube eye ointment,1140881472,S01XA20,No Active Ingredients
detrusitol 1mg tablet,1141162824,G04BD07,Tolterodine
sotalol,1140879854,C07AA07,Sotalol
dermovate cream,1140882782,D07AD01,Clobetasol Propionate
prempak 0.625 tablet,1140857636,G03FA10,Conjugated Estrogens |Norgestrel
estraderm mx 25 patch,1140926592,G03CA03,Estradiol
terbutaline,1140879792,R03AC03 |R03CC03,Terbutaline
pizotifen,1140883664,N02CX01,Pizotifen
starflower oil,1140911680,D11AX02,Gamolenic Acid
rosiglitazone,1141177600,A10BG02,Rosiglitazone
fybogel mebeverine sachet,1140865350,A06AC51,Mebeverine |Plantago Seed
asacol 400mg e/c tablet,1140865580,A07EC02,Mesalazine
co-tenidone,1140923336,C07CB03,Chlorthalidone |Atenolol
mirena 20mcg/24hrs intrauterine system,1140921822,G02BA03,Levonorgestrel
spiriva 18micrograms inhalation capsule,1141182632,R03BB04,Tiotropium
mesalazine,1140865578,A07EC02,Mesalazine
microgynon 30 tablet,1140869180,G03AA07,Levonorgestrel |Ethinyl Estradiol
fenofibrate,1140861954,C10AB05,Fenofibrate
thiamine preparation,1140888366,A11DA01,Thiamine
arthrotec tablet,1140871266,M01AB55,Diclofenac |Misoprostol
micronor tablet,1140869276,G03AC01,Norethisterone
prochlorperazine,1140868170,N05AB04,Prochlorperazine
trazodone,1140879634,N06AX05,Trazodone
tranexamic acid,1140861832,B02AA02,Tranexamic Acid
simvador 10mg tablet,1141188146,C10AA01,Simvastatin
desloratadine,1141172924,R06AX27,Desloratadine
prozac 20mg capsule,1140867876,N06AB03,Fluoxetine
livial 2.5mg tablet,1140882946,G03CX01,Tibolone
omacor 1g capsule,1141181868,C10AX06,Omega-3-Acid Ethyl Esters
tadalafil,1141187810,G04BE08,Tadalafil
selenium ace tablet,1140911682,A11JC,Vitamin C |Vitamin A |Selenium |Vitamin E
seroxat 20mg tablet,1140882236,N06AB05,Paroxetine
migraleve tablet,1141168554,N02AJ09,Acetaminophen |Codeine |Buclizine
clonidine,1140883468,C02AC01 |N02CX02 |S01EA04,Clonidine
climaval 1mg tablet,1140868372,G03CA03,Estradiol
fosamax 5mg tablet,1141176570,M05BA04,Alendronic Acid
lamotrigine,1140872290,N03AX09,Lamotrigine
olmesartan,1141193282,C09CA08,Olmesartan
colofac-100 tablet,1141167334,A03AA04,Mebeverine
olanzapine,1140928916,N05AH03,Olanzapine
metoclopramide,1140879494,A03FA01,Metoclopramide
ipratropium,1140883548,R01AX03 |R03BB01,Ipratropium Bromide
dovobet ointment,1141179992,D05AX52,Betamethasone |Calcipotriol
dicloflex 25mg e/c tablet,1140921828,M01AB05,Diclofenac
orlistat,1141168680,A08AB01,Orlistat
vitamin b6 preparation,1140909874,A11HA02,Vitamin B6
neoclarityn 5mg tablet,1141172928,R06AX27,Desloratadine
evorel conti patch,1141151718,G03FA01,Norethisterone |Estradiol
cozaar 25mg tablet,1141179974,C09CA01,Losartan
amias 2mg tablet,1141156846,C09CA06,Candesartan
baclofen,1140875420,M03BX01,Baclofen
voltarol 25mg e/c tablet,1140871168,M01AB05,Diclofenac
mefenamic acid,1140871542,M01AG01,Mefenamic Acid
lacidipine,1140861276,C08CA09,Lacidipine
eumovate cream,1140882800,D07AB01,Clobetasone
anastrozole,1140923018,L02BG03,Anastrozole
celecoxib,1141176662,L01XX33 |M01AH01,Celecoxib
trimethoprim,1140873966,J01EA01,Trimethoprim
vesicare 5mg tablet,1141200384,G04BD08,Solifenacin
glimepiride,1141152590,A10BB12,Glimepiride
calcichew forte 2.5g chewable tablet,1140870862,A12AA04,Calcium Carbonate
sodium valproate,1140872198,N03AG01,Valproic Acid
glucophage 500mg tablet,1140874686,A10BA02,Metformin
atrovent 20micrograms inhaler,1140862236,R03BB01,Ipratropium Bromide
buscopan 10mg tablet,1140865396,A03BB01,Scopolamine Butylbromide
diovan 40mg capsule,1141145668,C09CA03,Valsartan
nitrolingual 400micrograms spray,1140860840,C01DA02,Nitroglycerin
bezafibrate,1140861924,C10AB02,Bezafibrate
lithium product,1140867490,N05AN01,Lithium
co-amilofruse,1140923402,C03EB01,Amiloride |Furosemide
doxycycline,1140873394,J01AA02 |A01AB22,Doxycycline
adizem-60 m/r tablet,1140861138,C08DB01,Diltiazem
cosopt 2%/0.5% eye drops,1141169520,S01ED51,Timolol |Dorzolamide
alfacalcidol,1140870956,A11CC03,Alfacalcidol
ispaghula husk,1140865752,A06AC01,Plantago Seed
ibandronic acid,1141180314,M05BA06,Ibandronate
cardicor 1.25mg tablet,1141171152,C07AB07,Bisoprolol
phenytoin,2038460076,N03AB02,Phenytoin
xenical 120mg capsule,1141168684,A08AB01,Orlistat
duloxetine,1141200564,N06AX21,Duloxetine
aqueous cream bp,1140876404,D02A,No Active Ingredients
zomig 2.5mg tablet,1141150624,N02CC03,Zolmitriptan
moxonidine,1140928284,C02AC05,Moxonidine
zolmitriptan,1141150620,N02CC03,Zolmitriptan
glyceryl trinitrate product,1141157252,C01DA02 |C05AE01,Nitroglycerin
aprovel 75mg tablet,1141153006,C09CA04,Irbesartan
peptac liquid,1141168752,A02AX,Sodium Bicarbonate |Calcium Carbonate |Alginic Acid
etoricoxib,1141180140,M01AH05,Etoricoxib
cipralex 5mg tablet,1141190158,N06AB10,Escitalopram
docusate sodium,1140879404,A06AA02,Docusate
b12 - hydroxocobalamin prep,1140910494,B03BA03 |V03AB33,Hydroxocobalamin
amiodarone,1140888502,C01BD01,Amiodarone
nebivolol,1141164276,C07AB12,Nebivolol
hydroxocobalamin,1141173348,B03BA03 |V03AB33,Hydroxocobalamin
coracten sr 10mg m/r capsule,1140861120,C08CA05,Nifedipine
clarityn 10mg tablet,1140862776,R06AX13,Loratadine
celluvisc 1% single-use eye drops,1141172918,S01XA20,Carboxymethylcellulose
carbimazole,1140874866,H03BB01,Carbimazole
arthrotec 50 tablet,1140927086,M01AB55,Diclofenac |Misoprostol
sodium cromoglicate,1140909788,A07EB01 |D11AH03 |R01AC01 |R03BC01 |S01GX01,Cromoglicic Acid
losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet,1141151016,C09DA01,Losartan |Hydrochlorothiazide
adalate 10mg capsule,1140881702,C08CA05,Nifedipine
bumetanide,1140866280,C03CA02,Bumetanide
amoxicillin,1141180226,J01CA04,Amoxicillin
aciclovir,1140874370,D06BB03 |J05AB01 |S01AD03,Aciclovir
sodium warfarin,1140910832,B01AA03,Warfarin
celebrex 100mg capsule,1141176668,M01AH01,Celecoxib
actonel 5mg tablet,1141175690,M05BA07,Risedronate
co-proxamol,1140923348,N02AC54,Acetaminophen |Dextropropoxyphene
rizatriptan,1141167932,N02CC04,Rizatriptan
dutasteride,1141192000,G04CB02,Dutasteride
e45 cream,1140878304,D02AC,Petrolatum |Lanolin |Light Mineral Oil
cimetidine,1140865426,A02BA01,Cimetidine
luteine,1140910640,V06D,Xanthophyll
letrozole,1141145896,L02BG04,Letrozole
lofepramine,1140867726,N06AA07,Lofepramine
kliofem tablet,1140917056,G03FA01,Norethisterone |Estradiol
ortho-gynest 500micrograms pessary,1140869034,G03CA04,Estriol
paracetamol + codeine,1140882394,N02AJ06,Acetaminophen |Codeine
losec 10mg capsule,1140909578,A02BC01,Omeprazole
timolol 0.25% eye drops,1140875840,S01ED01,Timolol
timolol,1140879866,C07AA06 |S01ED01,Timolol
clonazepam,1140872150,N03AE01,Clonazepam
solpadol caplet,1140871688,N02AJ06,Acetaminophen |Codeine
carvedilol,1140909368,C07AG02,Carvedilol
femulen tablet,1140869362,G03DC06,Ethynodiol Diacetate
lumigan 0.3mg/ml eye drops,1141179920,S01EE03,Bimatoprost
multivitamins capsule,1140909766,A11B,Multivitamin
adizem-xl plus m/r capsule,1140926780,C08DB01,Diltiazem
travatan 40micrograms/ml eye drops,1141185326,S01EE04,Travoprost
singulair 10mg tablet,1141157132,R03DC03,Montelukast
etodolac,1140871188,M01AB08,Etodolac
erythromycin,1140873608,D10AF02 |J01FA01 |S01AA17,Erythromycin
noriday tablet,1140869278,G03DC02,Norethisterone
telfast 30 tablet,1141194386,R06AX26,Fexofenadine
naratriptan,1141151284,N02CC02,Naratriptan
anadin tablet,1140911754,N02BA51,Caffeine |Acetylsalicylic Acid
syndol tablet,1140856342,N02AJ06,Acetaminophen |Codeine |Ketorolac
depo-provera 50mg/1ml injection,1140857620,G03AC06,Medroxyprogesterone Acetate
ropinirole,1140928274,N04BC04,Ropinirole
hydrocortisone product,1141157294,A01AC03 |A07EA02 |C05AA01 |D07AA02 |D07XA01 |H02AB09 |S01BA02 |S01CB03 |S02BA01,Hydrocortisone
naprosyn 250mg tablet,1140871472,M01AE02,Naproxen
budesonide+formoterol,1141195232,R03AK07,Formoterol |Budesonide
ovestin 0.1% vaginal cream,1140869036,G03CA04,Estriol
buprenorphine,1140871732,N02AE01 |N07BC01,Buprenorphine
epanutin 25mg capsule,1140872112,N03AB02,Phenytoin
bimatoprost,1141179914,S01EE03,Bimatoprost
zoton 15mg capsule,1140923688,A02BC03,Lansoprazole
beclometasone dipropionate+salbutamol,1141180342,R03AK13,Beclomethasone Dipropionate |Salbutamol
naramig 2.5mg tablet,1141151288,N02CC02,Naratriptan
bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet,1140864950,C07BB07,Bisoprolol |Hydrochlorothiazide
daktacort cream,1140882910,D01AC20,Hydrocortisone |Miconazole
elocon cream,1140888092,D07AC13,Mometasone
diclofenac sodium+misoprostol,1140878036,M01AB55,Diclofenac |Misoprostol
crestor 10mg tablet,1141192414,C10AA07,Rosuvastatin
testosterone product,1140868532,G03BA03,Testosterone
clomipramine,1140879620,N06AA04,Clomipramine
zolpidem,1140865016,N05CF02,Zolpidem
nortriptyline,1140867818,N06AA10,Nortriptyline
opticrom allergy eye drops,1140909482,S01GX01,Cromoglicic Acid
calcium carbonate+colecalciferol 1.25g/5micrograms tablet,1141180936,A12AX,Cholecalciferol |Calcium Carbonate
prednisone,1140868364,A07EA03 |H02AB07,Prednisone
spasmonal 60mg capsule,1140865336,A03AX08,Alverine
pentasa sr 250mg m/r tablet,1140865588,A07EC02,Mesalazine
indometacin,1140909936,C01EB03 |M01AB01 |M02AA23 |S01BC01,Indomethacin
calceos chewable tablet,1141146612,A12AX,Cholecalciferol |Calcium Carbonate
raloxifene hydrochloride,1141168574,G03XC01,Raloxifene
quetiapine,1141152848,N05AH04,Quetiapine
priadel 200mg m/r tablet,1140867504,N05AN01,Lithium
stemetil 5mg tablet,1140868172,N05AB04,Prochlorperazine
penicillin,1140882498,J01CE |S01AA14,Phenoxymethylpenicillin |Benzylpenicillin |Procaine Benzylpenicillin |Benzathine Benzylpenicillin
trimovate ointment,1140884700,D07CB,Oxytetracycline |Nystatin |Clobetasone
nitrofurantoin,1140874126,J01XE01,Nitrofurantoin
cardioplen xl 5mg m/r tablet,1141199858,C08CA02,Felodipine
morphine,1140871692,N02AA01,Morphine
levocetirizine,1141184748,R06AE09,Levocetirizine
olmetec 10mg tablet,1141193346,C09CA08,Olmesartan
cialis 10mg tablet,1141187814,G04BE08,Tadalafil
calcipotriol,1140880086,D05AX02,Calcipotriol
respiratory mometasone,1141191748,R01AD09 |R03BA07,Mometasone
nitrazepam,1140863182,N05CD02,Nitrazepam
alverine,1140879424,A03AX08,Alverine
timoptol 0.25% eye drops,1140881882,S01ED01,Timolol
trandolapril,1140860904,C09AA10,Trandolapril
voltarol emulgel,1140877892,M02AA15,Diclofenac
nurofen 200mg tablet,1141187776,M01AE01,Ibuprofen
salmeterol product,1141157264,R03AC12,Salmeterol
indomethacin,1140871336,C01EB03 |M01AB01 |M02AA23 |S01BC01,Indomethacin
persantin 25mg tablet,1140861780,B01AC07,Dipyridamole
pariet 10mg e/c tablet,1141168590,A02BC04,Rabeprazole
eprosartan,1141171336,C09CA02,Eprosartan
co-amilozide,1140923276,C03EA01,Amiloride |Hydrochlorothiazide
norethisterone,1140868580,G03AC01 |G03DC02,Norethisterone
salazopyrin 500mg tablet,1140865670,A07EC01,Sulfasalazine
chlorphenamine,1140909790,R06AB04,Chlorphenamine
zoladex 3.6mg implant,1140870196,L02AE03,Goserelin
topiramate,1140923484,N03AX11,Topiramate
doublebase gel,1141174032,D02A,Mineral Oil |Isopropyl Myristate
carbocisteine,1140862944,R05CB03,Carbocisteine
ismn - isosorbide mononitrate,1140888762,C01DA14,Isosorbide Mononitrate
iron+folic acid,1140870306,B03AD,Folic Acid |Iron
cefalexin,1141180392,J01DB01,Cephalexin
creon e/c granules in capsule,1140866026,A09AA02,Pancrelipase
becloforte 250micrograms inhaler,1140862380,R03BA01,Beclomethasone Dipropionate
solpadol capsule,1141168122,N02AJ06,Acetaminophen |Codeine
hypromellose product,1141157458,S01KA02,Hypromellose
sulphasalazine,1140865668,A07EC01,Sulfasalazine
climagest 1mg tablet,1140864196,G03FB05,Norethisterone |Estradiol
risperidone,1140867444,N05AX08,Risperidone
lymecycline,1140873474,J01AA04,Lymecycline
dovonex 50micrograms/g cream,1140864184,D05AX02,Calcipotriol
zantac 75 tablet,1140916980,A02BA02,Ranitidine
xalacom 0.005%/0.5% eye drops,1141184726,S01ED51,Timolol |Latanoprost
cinnarizine,1140883524,N07CA02,Cinnarizine
cardura 1mg tablet,1140860690,C02CA04,Doxazosin
imipramine,1140879630,N06AA02,Imipramine
colchicine,1140875486,M04AC01,Colchicine
penicillin v,1140888758,J01CE02,Phenoxymethylpenicillin
imodium 2mg capsule,1140865564,A07DA03,Loperamide
fucibet cream,1140882776,D07CC01,Betamethasone |Fusidic Acid
otomize ear spray,1140882728,S02CA06,Neomycin |Dexamethasone |Acetic Acid
calcium+ergocalciferol tablet,1140877630,A12AX,Ergocalciferol |Calcium
azopt 10mg/ml eye drops,1141176288,S01EC04,Brinzolamide
efexor 37.5mg tablet,1140916288,N06AX16,Venlafaxine
maxalt 5mg tablet,1141167940,N02CC04,Rizatriptan
airomir 100micrograms cfc-free inhaler,1140917034,R03AC02,Salbutamol
fluvastatin,1140888594,C10AA04,Fluvastatin
uniphyllin continus 200mg m/r tablet,1140862438,R03DA04,Theophylline
mycophenolate,1140925978,L04AA06,Mycophenolate Mofetil
carmellose,1140883968,S01XA20,Carboxymethylcellulose
hepacon b12 1mg/1ml injection,1140858452,B03BA01,Cyanocobalamin
trospium,1141171496,G04BD09,Trospium
tylex capsule,1140871680,N02AJ06,Acetaminophen |Codeine
plavix 75mg tablet,1141168322,B01AC04,Clopidogrel
pramipexole,1141164060,N04BC05,Pramipexole
fosinopril,1140888556,C09AA09,Fosinopril
oestrogen product,1140884622,G03CA03,Estradiol
estriol product,1141181594,G03CA04,Estradiol
tacrolimus,1140911642,D11AH01 |L04AD02,Tacrolimus
captopril,1140860750,C09AA01,Captopril
iron sulphate,1140910548,B03A,Iron
normacol granules,1140881474,A06AC03,Sterculia
nasobec aqueous 50micrograms nasal spray,1141145638,R01AD01,Beclomethasone Dipropionate
dexamethasone+hypromellose 0.1%/0.5% eye drops,1141169844,S02BA06,Dexamethasone |Hypromellose
exemestane,1141171100,L02BG06,Exemestane
bisacodyl,1140865786,A06AB02 |A06AG02,Bisacodyl
senokot 7.5mg tablet,1140851088,A06AB06,Senna Glycoside
dilzem sr 60mg long acting m/r capsule,1140861166,C08DB01,Diltiazem
diprosalic ointment,1140882618,D07XC01,Betamethasone |Salicylic Acid
sodium thyroxine,1140910814,H03AA01,Levothyroxine
quinapril,1140860728,C09AA06,Quinapril
levetiracetam,1141171932,N03AX14,Levetiracetam
