Gene,p Value,False Discovery Rate,Average Difference log fold change,Fraction of Detection in Cluster,Fraction of Detection in Other Clusters,Cluster
NWD2,0.00,0.00,0.63,0.30,0.09,Ex1
AQP4-AS1,0.00,0.00,0.63,0.37,0.13,Ex1
SIPA1L1,0.00,0.00,0.62,0.66,0.34,Ex1
FAM153B,0.00,0.00,0.61,0.39,0.14,Ex1
PLCB1,0.00,0.00,0.61,0.91,0.60,Ex1
LINGO2,0.00,0.00,0.60,0.67,0.34,Ex1
PVRL3,0.00,0.00,0.60,0.28,0.07,Ex1
CDH22,0.00,0.00,0.60,0.30,0.08,Ex1
VSNL1,0.00,0.00,0.60,0.66,0.34,Ex1
CDH9,0.00,0.00,0.60,0.40,0.14,Ex1
EPB41L2,0.00,0.00,0.59,0.55,0.23,Ex1
GRIA2,0.00,0.00,0.59,0.79,0.47,Ex1
RASGRF2,0.00,0.00,0.59,0.47,0.17,Ex1
BICC1,0.00,0.00,0.59,0.26,0.07,Ex1
MIR137HG,0.00,0.00,0.58,0.33,0.12,Ex1
TMEM132D,0.00,0.00,0.58,0.63,0.30,Ex1
FSTL4,0.00,0.00,0.57,0.51,0.23,Ex1
MKL2,0.00,0.00,0.57,0.52,0.23,Ex1
WASF1,0.00,0.00,0.57,0.44,0.18,Ex1
TANC2,0.00,0.00,0.57,0.64,0.33,Ex1
MIAT,0.00,0.00,0.57,0.44,0.18,Ex1
CABP1,0.00,0.00,0.57,0.43,0.18,Ex1
DIAPH2,0.00,0.00,0.57,0.37,0.13,Ex1
OLFM1,0.00,0.00,0.57,0.62,0.29,Ex1
SLC6A7,0.00,0.00,0.56,0.29,0.09,Ex1
GULP1,0.00,0.00,0.56,0.26,0.07,Ex1
CACNA1E,0.00,0.00,0.56,0.38,0.14,Ex1
SATB2,0.00,0.00,0.55,0.35,0.12,Ex1
MEIS2,0.00,0.00,0.54,0.41,0.13,Ex1
NTRK3,0.00,0.00,0.54,0.61,0.31,Ex1
PPFIA2,0.00,0.00,0.54,0.78,0.48,Ex1
PDE8B,0.00,0.00,0.53,0.38,0.15,Ex1
NLK,0.00,0.00,0.53,0.50,0.22,Ex1
GRIA4,0.00,0.00,0.53,0.82,0.48,Ex1
PLEKHA5,0.00,0.00,0.52,0.65,0.35,Ex1
AGBL4,0.00,0.00,0.51,0.83,0.50,Ex1
PPP3CA,0.00,0.00,0.51,0.77,0.47,Ex1
FAT3,0.00,0.00,0.51,0.45,0.19,Ex1
PDE4D,0.00,0.00,0.51,0.87,0.59,Ex1
GABRB3,0.00,0.00,0.51,0.58,0.30,Ex1
TMEM132B,0.00,0.00,0.50,0.54,0.27,Ex1
RBFOX1,0.00,0.00,0.50,0.95,0.70,Ex1
CACNA2D3,0.00,0.00,0.49,0.65,0.34,Ex1
SLIT3,0.00,0.00,0.49,0.34,0.11,Ex1
KCNH1,0.00,0.00,0.49,0.57,0.29,Ex1
PTK2B,0.00,0.00,0.49,0.32,0.11,Ex1
CSMD1,0.00,0.00,0.47,0.98,0.76,Ex1
CACNA2D1,0.00,0.00,0.46,0.61,0.31,Ex1
KCNMA1,0.00,0.00,0.43,0.75,0.46,Ex1
RAPGEF5,0.00,0.00,0.42,0.51,0.25,Ex1
GRM5,0.00,0.00,0.42,0.68,0.38,Ex1
SV2B,0.00,0.00,0.42,0.48,0.22,Ex1
DAB1,0.00,0.00,0.42,0.69,0.37,Ex1
STXBP5L,0.00,0.00,0.42,0.92,0.67,Ex1
MTUS2,0.00,0.00,0.41,0.64,0.36,Ex1
KHDRBS2,0.00,0.00,0.41,0.73,0.42,Ex1
LRRC7,0.00,0.00,0.40,0.78,0.48,Ex1
KIRREL3,0.00,0.00,0.40,0.60,0.31,Ex1
RGS7,0.00,0.00,0.40,0.86,0.62,Ex1
CNTNAP5,0.00,0.00,0.39,0.72,0.44,Ex1
TENM2,0.00,0.00,0.39,0.83,0.50,Ex1
MGAT4C,0.00,0.00,0.38,0.57,0.30,Ex1
SLIT2,0.00,0.00,0.38,0.39,0.17,Ex1
CDH13,0.00,0.00,0.38,0.48,0.22,Ex1
ARPP21,0.00,0.00,0.37,0.69,0.38,Ex1
DGCR5,0.00,0.00,0.37,0.45,0.20,Ex1
DLG2,0.00,0.00,0.35,0.97,0.83,Ex1
SLC8A1,0.00,0.00,0.35,0.68,0.41,Ex1
GRM7,0.00,0.00,0.31,0.63,0.36,Ex1
DLGAP1,0.00,0.00,0.27,0.95,0.74,Ex1
GRIN2A,0.00,0.00,0.26,0.69,0.42,Ex1
FAM19A2,1.48219693752374e-323,2.12448227711736e-322,0.30,0.63,0.37,Ex1
EML6,3.11261356879985e-322,4.49105672069693e-321,0.53,0.48,0.23,Ex1
SCN3B,1.05235982564186e-321,1.51579340144094e-320,0.57,0.30,0.10,Ex1
PTPRO,1.99553114355279e-320,2.85896026622496e-319,0.53,0.44,0.20,Ex1
BTBD9,3.08363661867126e-318,4.37898138739737e-317,0.47,0.54,0.28,Ex1
EPHA6,4.97428285727309e-314,6.96572318174422e-313,0.39,0.51,0.26,Ex1
FBXW7,3.44231038980649e-313,4.79545347222645e-312,0.44,0.57,0.30,Ex1
CACNA1B,1.42146829848859e-312,1.97682125786368e-311,0.43,0.66,0.39,Ex1
CSMD3,1.2300504152154e-310,0.00,0.34,0.68,0.41,Ex1
MAP3K5,1.68750435161965e-310,0.00,0.33,0.42,0.20,Ex1
MAN1A1,5.61194279192569e-310,0.00,0.55,0.28,0.09,Ex1
ROCK2,0.00,0.00,0.45,0.58,0.32,Ex1
DCLK1,0.00,0.00,0.31,0.65,0.40,Ex1
AK5,0.00,0.00,0.27,0.50,0.27,Ex1
KCNH3,0.00,0.00,0.61,0.27,0.08,Ex1
GRIN2B,0.00,0.00,0.43,0.62,0.35,Ex1
CHD5,0.00,0.00,0.49,0.53,0.27,Ex1
GNAL,0.00,0.00,0.57,0.28,0.09,Ex1
GRIA3,0.00,0.00,0.36,0.53,0.29,Ex1
SLC17A7,0.00,0.00,0.38,0.41,0.20,Ex1
PPP2R2C,0.00,0.00,0.46,0.44,0.21,Ex1
TMEM108,0.00,0.00,0.41,0.51,0.27,Ex1
KIAA1549L,0.00,0.00,0.49,0.40,0.18,Ex1
DOK6,0.00,0.00,0.48,0.45,0.21,Ex1
SORBS1,0.00,0.00,0.35,0.58,0.34,Ex1
PRICKLE1,0.00,0.00,0.49,0.39,0.17,Ex1
RFX3,0.00,0.00,0.37,0.44,0.22,Ex1
CHSY3,0.00,0.00,0.37,0.47,0.24,Ex1
ARHGAP32,0.00,0.00,0.41,0.51,0.27,Ex1
NPTN,0.00,0.00,0.43,0.51,0.27,Ex1
ACTN1,0.00,0.00,0.56,0.27,0.09,Ex1
CNKSR2,0.00,0.00,0.32,0.56,0.32,Ex1
LMO3,0.00,0.00,0.43,0.30,0.12,Ex1
PAK3,0.00,0.00,0.44,0.51,0.27,Ex1
SORCS1,0.00,0.00,0.30,0.46,0.25,Ex1
SEZ6L,0.00,0.00,0.29,0.43,0.22,Ex1
GALNT18,0.00,0.00,0.35,0.42,0.21,Ex1
CACNA1C,0.00,0.00,0.37,0.62,0.37,Ex1
SLC2A13,0.00,0.00,0.34,0.53,0.30,Ex1
TMEM59L,0.00,0.00,0.47,0.43,0.20,Ex1
SLC35F3,0.00,0.00,0.45,0.48,0.25,Ex1
NELL2,0.00,0.00,0.34,0.49,0.27,Ex1
CAMK1D,0.00,0.00,0.39,0.52,0.29,Ex1
CAMK2B,0.00,0.00,0.41,0.53,0.29,Ex1
CSGALNACT1,0.00,0.00,0.27,0.31,0.14,Ex1
SLC4A10,0.00,0.00,0.34,0.62,0.38,Ex1
HECW1,0.00,0.00,0.31,0.54,0.32,Ex1
CTDSPL,0.00,0.00,0.35,0.37,0.17,Ex1
PPFIBP1,0.00,0.00,0.38,0.36,0.17,Ex1
BRINP2,0.00,0.00,0.40,0.35,0.15,Ex1
GUCY1A2,0.00,0.00,0.41,0.38,0.18,Ex1
GABBR2,0.00,0.00,0.33,0.60,0.37,Ex1
KCNB1,0.00,0.00,0.47,0.39,0.18,Ex1
PCSK2,0.00,0.00,0.43,0.42,0.20,Ex1
CYP46A1,0.00,0.00,0.49,0.27,0.09,Ex1
RTN4,0.00,0.00,0.29,0.71,0.47,Ex1
PI4KA,0.00,0.00,0.37,0.45,0.23,Ex1
NIN,0.00,0.00,0.34,0.40,0.20,Ex1
NCDN,0.00,0.00,0.46,0.41,0.19,Ex1
PDE2A,0.00,0.00,0.50,0.27,0.09,Ex1
SLC22A10,0.00,0.00,0.43,0.30,0.12,Ex1
SLF1,0.00,0.00,0.48,0.29,0.11,Ex1
PHYHIP,0.00,0.00,0.45,0.33,0.14,Ex1
TRIM9,0.00,0.00,0.28,0.66,0.43,Ex1
MED12L,0.00,0.00,0.36,0.32,0.15,Ex1
AHI1,0.00,0.00,0.30,0.72,0.49,Ex1
CELF5,0.00,0.00,0.45,0.34,0.15,Ex1
MPP6,0.00,0.00,0.43,0.26,0.10,Ex1
LMO4,0.00,0.00,0.33,0.42,0.22,Ex1
CAMKK2,0.00,0.00,0.27,0.32,0.15,Ex1
NPTXR,0.00,0.00,0.45,0.29,0.11,Ex1
NIPAL2,0.00,0.00,0.48,0.26,0.10,Ex1
LRRTM3,0.00,0.00,0.28,0.49,0.29,Ex1
ARHGAP26,0.00,0.00,0.29,0.51,0.30,Ex1
LRFN2,0.00,0.00,0.45,0.25,0.10,Ex1
CHL1,0.00,0.00,0.26,0.43,0.24,Ex1
MAP2,0.00,0.00,0.26,0.69,0.47,Ex1
MAPK4,0.00,0.00,0.34,0.25,0.10,Ex1
NFAT5,0.00,0.00,0.27,0.44,0.25,Ex1
PTPRN2,0.00,0.00,0.30,0.53,0.32,Ex1
PPM1L,0.00,0.00,0.31,0.47,0.27,Ex1
GRIN1,0.00,0.00,0.40,0.43,0.23,Ex1
THY1,0.00,0.00,0.41,0.42,0.21,Ex1
AC091878.1,0.00,0.00,0.45,0.27,0.11,Ex1
CAP2,0.00,0.00,0.40,0.41,0.21,Ex1
EPHA4,0.00,0.00,0.39,0.37,0.18,Ex1
RP11-707M1.1,0.00,0.00,0.45,0.26,0.10,Ex1
TSC22D1,0.00,0.00,0.34,0.46,0.26,Ex1
ABI2,0.00,0.00,0.34,0.41,0.22,Ex1
SNED1,0.00,0.00,0.28,0.31,0.15,Ex1
RP11-123M6.2,0.00,0.00,0.60,0.26,0.10,Ex1
CNTN3,0.00,0.00,0.39,0.28,0.12,Ex1
PRKAR2B,0.00,0.00,0.45,0.27,0.11,Ex1
FRRS1L,0.00,0.00,0.36,0.44,0.24,Ex1
ARHGEF7,0.00,0.00,0.27,0.44,0.25,Ex1
USP25,0.00,0.00,0.31,0.28,0.13,Ex1
ADCY1,0.00,0.00,0.30,0.40,0.22,Ex1
ZNF804B,0.00,0.00,0.31,0.37,0.19,Ex1
RASAL2,0.00,0.00,0.30,0.51,0.30,Ex1
RAPGEF2,0.00,0.00,0.28,0.45,0.26,Ex1
PAK1,0.00,0.00,0.34,0.39,0.21,Ex1
RPS6KC1,0.00,0.00,0.32,0.35,0.18,Ex1
RP5-1187M17.10,0.00,0.00,0.38,0.29,0.13,Ex1
SYBU,0.00,0.00,0.39,0.35,0.17,Ex1
WDR17,0.00,0.00,0.39,0.32,0.15,Ex1
SUSD4,0.00,0.00,0.43,0.34,0.16,Ex1
THRB,0.00,0.00,0.28,0.50,0.31,Ex1
ANKRD30BL,0.00,0.00,0.39,0.27,0.11,Ex1
GABRA2,0.00,0.00,0.26,0.27,0.13,Ex1
ABLIM2,0.00,0.00,0.44,0.31,0.14,Ex1
HSPH1,0.00,0.00,0.35,0.37,0.19,Ex1
PLXNA2,0.00,0.00,0.27,0.28,0.14,Ex1
NEDD4L,0.00,0.00,0.32,0.36,0.19,Ex1
NDFIP2,0.00,0.00,0.38,0.26,0.11,Ex1
SGCD,0.00,0.00,0.27,0.40,0.23,Ex1
LONRF2,0.00,0.00,0.36,0.34,0.17,Ex1
RGS4,0.00,0.00,0.38,0.29,0.13,Ex1
CDK5R1,0.00,0.00,0.40,0.26,0.11,Ex1
CCDC30,0.00,0.00,0.34,0.29,0.13,Ex1
MAPK1,0.00,0.00,0.31,0.32,0.16,Ex1
NEK10,0.00,0.00,0.39,0.25,0.11,Ex1
CIT,0.00,0.00,0.31,0.33,0.16,Ex1
DCAF6,0.00,0.00,0.33,0.31,0.15,Ex1
DCLK2,0.00,0.00,0.26,0.34,0.18,Ex1
TRERF1,0.00,0.00,0.35,0.26,0.12,Ex1
EFNA5,0.00,0.00,0.26,0.44,0.27,Ex1
ARNT2,0.00,0.00,0.26,0.43,0.25,Ex1
LRRC8B,0.00,0.00,0.36,0.30,0.14,Ex1
ZNF365,0.00,0.00,0.26,0.27,0.13,Ex1
BCL11A,0.00,0.00,0.35,0.30,0.14,Ex1
MYH10,0.00,0.00,0.28,0.42,0.24,Ex1
DPY19L2P1,0.00,0.00,0.35,0.32,0.16,Ex1
SCAI,0.00,0.00,0.32,0.33,0.17,Ex1
YWHAH,0.00,0.00,0.34,0.35,0.19,Ex1
SHANK2,0.00,0.00,0.30,0.35,0.19,Ex1
GOLGA8A,0.00,0.00,0.27,0.37,0.21,Ex1
KSR2,0.00,0.00,0.30,0.39,0.22,Ex1
KCNJ6,0.00,0.00,0.30,0.32,0.17,Ex1
SUGP2,0.00,0.00,0.30,0.37,0.20,Ex1
NPTX1,0.00,0.00,0.34,0.25,0.12,Ex1
VGLL4,0.00,0.00,0.29,0.27,0.13,Ex1
ST8SIA3,0.00,0.00,0.36,0.25,0.11,Ex1
TSPYL1,0.00,0.00,0.31,0.35,0.19,Ex1
KCNB2,0.00,0.00,0.31,0.34,0.18,Ex1
TMEM232,0.00,0.00,0.30,0.35,0.20,Ex1
TLK1,0.00,0.00,0.27,0.29,0.15,Ex1
TARBP1,0.00,0.00,0.32,0.27,0.14,Ex1
ST8SIA5,0.00,0.00,0.29,0.30,0.16,Ex1
DYNC2H1,0.00,0.00,0.26,0.28,0.15,Ex1
RAD9A,0.00,0.00,0.33,0.26,0.13,Ex1
PLEKHA6,0.00,0.00,0.28,0.28,0.14,Ex1
DGKZ,0.00,0.00,0.32,0.27,0.13,Ex1
KIFC2,0.00,0.00,0.31,0.31,0.17,Ex1
PKNOX2,0.00,0.00,0.25,0.30,0.17,Ex1
NETO1,0.00,0.00,0.30,0.26,0.13,Ex1
GOLGA8B,0.00,0.00,0.28,0.32,0.18,Ex1
RUNDC3A,0.00,0.00,0.29,0.25,0.13,Ex1
TOMM20,0.00,0.00,0.28,0.27,0.14,Ex1
SHC3,0.00,0.00,0.28,0.25,0.13,Ex1
RPL31,0.00,0.00,0.30,0.31,0.17,Ex1
KCNT1,0.00,0.00,0.31,0.26,0.14,Ex1
CACNG8,0.00,0.00,0.27,0.31,0.18,Ex1
KCNIP4,0.00,0.00,0.54,1.00,0.86,Ex2
CNTNAP2,0.00,0.00,0.62,0.97,0.75,Ex2
PTPRD,0.00,0.00,0.68,0.95,0.76,Ex2
COL5A2,0.00,0.00,1.26,0.39,0.05,Ex2
DPP10,0.00,0.00,0.46,0.92,0.59,Ex2
IQCJ-SCHIP1,0.00,0.00,0.89,0.82,0.48,Ex2
AJ006998.2,0.00,0.00,1.12,0.33,0.05,Ex2
FAM19A1,0.00,0.00,0.95,0.66,0.27,Ex2
PTPRT,0.00,0.00,0.91,0.68,0.29,Ex2
LRRTM4,0.00,0.00,0.46,0.93,0.65,Ex2
LDB2,0.00,0.00,0.76,0.76,0.37,Ex2
KHDRBS2,0.00,0.00,0.73,0.81,0.47,Ex2
UNC5D,0.00,0.00,0.85,0.69,0.36,Ex2
ST6GALNAC5,0.00,0.00,0.87,0.62,0.27,Ex2
SNTG1,0.00,0.00,0.60,0.85,0.60,Ex2
RP11-420N3.3,0.00,0.00,0.96,0.38,0.09,Ex2
GRM7,0.00,0.00,0.71,0.73,0.40,Ex2
ADGRB3,0.00,0.00,0.44,0.95,0.84,Ex2
DCC,0.00,0.00,0.79,0.59,0.25,Ex2
AGBL4,0.00,0.00,0.65,0.79,0.55,Ex2
CSMD1,0.00,0.00,0.39,0.95,0.79,Ex2
PTPRK,0.00,0.00,0.72,0.61,0.29,Ex2
AC011288.2,0.00,0.00,0.79,0.54,0.22,Ex2
RGS7,0.00,0.00,0.51,0.86,0.66,Ex2
LRRC4C,0.00,0.00,0.49,0.78,0.50,Ex2
DLG2,0.00,0.00,0.33,0.97,0.85,Ex2
KCNB2,0.00,0.00,0.84,0.49,0.21,Ex2
SYT1,0.00,0.00,0.39,0.95,0.77,Ex2
TRHDE,0.00,0.00,0.84,0.47,0.19,Ex2
RALYL,0.00,0.00,0.40,0.83,0.57,Ex2
LAMA2,0.00,0.00,0.61,0.31,0.09,Ex2
KCNH7,0.00,0.00,0.61,0.57,0.28,Ex2
HS6ST3,0.00,0.00,0.57,0.72,0.43,Ex2
NTNG1,0.00,0.00,0.70,0.39,0.13,Ex2
LINGO2,0.00,0.00,0.66,0.66,0.39,Ex2
KCNQ5,0.00,0.00,0.52,0.80,0.51,Ex2
NRG3,0.00,0.00,0.44,0.91,0.71,Ex2
MGAT4C,0.00,0.00,0.64,0.65,0.34,Ex2
R3HDM1,0.00,0.00,0.52,0.75,0.49,Ex2
PDE4D,0.00,0.00,0.52,0.85,0.63,Ex2
ATRNL1,0.00,0.00,0.52,0.80,0.55,Ex2
ANO3,0.00,0.00,0.71,0.29,0.09,Ex2
CNTN3,0.00,0.00,0.73,0.38,0.14,Ex2
KHDRBS3,0.00,0.00,0.64,0.57,0.29,Ex2
NKAIN2,0.00,0.00,0.37,0.81,0.57,Ex2
ZNF804B,0.00,0.00,0.75,0.47,0.22,Ex2
MEG3,0.00,0.00,0.37,0.96,0.82,Ex2
STXBP5L,0.00,0.00,0.39,0.88,0.71,Ex2
POU6F2,0.00,0.00,0.69,0.45,0.19,Ex2
MKL2,0.00,0.00,0.59,0.54,0.28,Ex2
OPCML,0.00,0.00,0.41,0.90,0.71,Ex2
CA10,0.00,0.00,0.27,0.55,0.31,Ex2
NRG1,0.00,0.00,0.49,0.60,0.33,Ex2
RORB,0.00,0.00,0.55,0.39,0.17,Ex2
NEGR1,0.00,0.00,0.44,0.82,0.64,Ex2
CDH8,0.00,0.00,0.61,0.41,0.18,Ex2
CELF2,0.00,0.00,0.47,0.77,0.54,Ex2
PHACTR1,0.00,0.00,0.43,0.82,0.58,Ex2
CNTN5,0.00,0.00,0.30,0.65,0.40,Ex2
NELL2,0.00,0.00,0.61,0.55,0.30,Ex2
THRB,0.00,0.00,0.60,0.59,0.34,Ex2
CPNE4,0.00,0.00,0.63,0.40,0.18,Ex2
AC067956.1,0.00,0.00,0.57,0.28,0.09,Ex2
DGKB,0.00,0.00,0.52,0.63,0.40,Ex2
NDST3,0.00,0.00,0.50,0.44,0.21,Ex2
TENM2,0.00,0.00,0.26,0.76,0.55,Ex2
KCNH5,0.00,0.00,0.67,0.30,0.11,Ex2
KALRN,0.00,0.00,0.42,0.74,0.51,Ex2
RGS6,0.00,0.00,0.48,0.53,0.29,Ex2
RIMS2,0.00,0.00,0.40,0.82,0.64,Ex2
CHSY3,0.00,0.00,0.53,0.51,0.27,Ex2
LRRC7,0.00,0.00,0.45,0.76,0.53,Ex2
MARCH1,0.00,0.00,0.47,0.56,0.32,Ex2
CHN1,0.00,0.00,0.25,0.62,0.39,Ex2
KCNQ3,0.00,0.00,0.50,0.56,0.33,Ex2
FRMD4A,0.00,0.00,0.33,0.82,0.62,Ex2
FLRT2,0.00,0.00,0.54,0.54,0.30,Ex2
PLCB1,0.00,0.00,0.27,0.84,0.65,Ex2
LINC01250,0.00,0.00,0.55,0.36,0.16,Ex2
CHRM3,0.00,0.00,0.43,0.63,0.40,Ex2
AC114765.1,0.00,0.00,0.54,0.29,0.11,Ex2
ERICH1-AS1,0.00,0.00,0.54,0.45,0.24,Ex2
GABRB1,0.00,0.00,0.40,0.54,0.31,Ex2
GULP1,0.00,0.00,0.57,0.26,0.10,Ex2
KCNH1,0.00,0.00,0.54,0.55,0.34,Ex2
NECAB1,0.00,0.00,0.52,0.47,0.26,Ex2
GABRG3,0.00,0.00,0.45,0.59,0.37,Ex2
DSCAM,0.00,0.00,0.34,0.70,0.48,Ex2
TMEM132D,0.00,0.00,0.47,0.57,0.35,Ex2
MEF2C,0.00,0.00,0.39,0.70,0.47,Ex2
FAM155A,0.00,0.00,0.36,0.87,0.72,Ex2
RYR2,0.00,0.00,0.41,0.74,0.53,Ex2
RFX3,0.00,0.00,0.41,0.46,0.25,Ex2
CACNA2D3,0.00,0.00,0.47,0.60,0.38,Ex2
GRIN2A,0.00,0.00,0.39,0.68,0.46,Ex2
GRM5,0.00,0.00,0.45,0.64,0.43,Ex2
FTH1,0.00,0.00,0.26,0.39,0.22,Ex2
CBLN2,0.00,0.00,0.37,0.38,0.20,Ex2
RP11-384F7.2,0.00,0.00,0.36,0.55,0.34,Ex2
CDH10,0.00,0.00,0.41,0.44,0.24,Ex2
BRINP3,0.00,0.00,0.43,0.48,0.27,Ex2
FMN1,0.00,0.00,0.47,0.45,0.25,Ex2
SGCD,0.00,0.00,0.37,0.45,0.25,Ex2
RP11-191L9.4,0.00,0.00,0.51,0.43,0.24,Ex2
CTC-340A15.2,0.00,0.00,0.52,0.28,0.12,Ex2
MIR137HG,0.00,0.00,0.56,0.32,0.15,Ex2
LRFN5,0.00,0.00,0.41,0.64,0.44,Ex2
HECW1,0.00,0.00,0.41,0.56,0.35,Ex2
XYLT1,0.00,0.00,0.31,0.35,0.18,Ex2
ERC2,0.00,0.00,0.42,0.66,0.46,Ex2
DCLK1,0.00,0.00,0.49,0.61,0.44,Ex2
SLC39A10,0.00,0.00,0.37,0.31,0.15,Ex2
OXR1,0.00,0.00,0.37,0.71,0.53,Ex2
SEMA6D,0.00,0.00,0.39,0.37,0.19,Ex2
LY86-AS1,0.00,0.00,0.50,0.26,0.11,Ex2
AK5,0.00,0.00,0.26,0.49,0.31,Ex2
RASAL2,0.00,0.00,0.44,0.53,0.34,Ex2
MAPK10,0.00,0.00,0.29,0.70,0.53,Ex2
GUCY1A2,0.00,0.00,0.51,0.38,0.21,Ex2
CUX2,0.00,0.00,0.45,0.33,0.17,Ex2
KCNT2,0.00,0.00,0.35,0.31,0.16,Ex2
FBXL2,0.00,0.00,0.49,0.30,0.14,Ex2
TMEM232,0.00,0.00,0.42,0.40,0.22,Ex2
EPHA4,0.00,0.00,0.43,0.38,0.21,Ex2
HOMER1,0.00,0.00,0.43,0.38,0.21,Ex2
EFNA5,0.00,0.00,0.48,0.47,0.29,Ex2
FAT3,0.00,0.00,0.33,0.40,0.23,Ex2
NRCAM,0.00,0.00,0.28,0.64,0.46,Ex2
AQP4-AS1,0.00,0.00,0.40,0.32,0.16,Ex2
PPFIA2,0.00,0.00,0.37,0.69,0.53,Ex2
GABRB3,0.00,0.00,0.34,0.53,0.35,Ex2
ARHGAP32,0.00,0.00,0.44,0.48,0.31,Ex2
PDE10A,0.00,0.00,0.30,0.57,0.39,Ex2
TESPA1,0.00,0.00,0.41,0.29,0.16,Ex2
